,종목코드,유동자산,부채총계,자본총계,매출액,매출총이익,영업이익,당기순이익,영업활동현금흐름,잉여현금흐름
1900-01-01,,,,,,,,,,
2015-12-30,060310,16069077218,29420163240,37939808456,23210541648,1635010587,-4157989321,-5599032927,0,0
2016-06-30,060310,13582609176,21382562181,34888339748,6534629920,164655511,-1222253624,-1840069164,0,0
2016-09-30,060310,17985342311,24678327990,35061777226,7357350855,63868668,-766080221,-489723045,0,0
2016-12-30,060310,13426668881,23142629825,34603759371,9850440880,3690977278,3164869768,-1073645607,0,0
2017-06-30,060310,12963850356,22170000793,27854998694,7192915640,245618550,0,0,2717232068,2717232068
2017-09-30,060310,15427768735,23885585514,28208080133,9225760158,1955538245,1171768022,386279038,4812661467,4812661467
2017-12-30,060310,16712868726,24527236916,29179666781,10067612120,-89289451,-3592992891,-9190089121,0,-7529893535
2018-03-31,060310,11992121662,16870572704,31463895532,7536828503,0,-1225498458,-1173541435,-1103668799,-1008845466
2018-06-30,060310,13293539593,18258139949,30965674005,6743873607,717263634,-227421546,-462794588,-201948660,-21906922
2018-09-30,060310,20026810511,24238513809,32178657324,8861182901,2067403778,1273481246,1208046379,177599383,621504942
2018-12-30,060310,12801669723,18768660365,30752338694,8404285174,514560222,512749375,428289644,4555587479,4964834925
2019-03-31,060310,17545667958,17607619485,35150349276,7468642401,1613092045,849268758,791843063,0,0
2019-06-30,060310,17092745843,16747140443,34870441401,4942146133,828253576,-171652102,-284512972,3166387093,3177739087
2019-09-30,060310,17721049522,17128368773,35193485505,5180003764,1108228931,510950298,337100507,1962180045,2499226305
2019-12-30,060310,18079335574,18957538831,34371682381,18161147186,1764144724,473578684,566650467,2854514902,-2825071262
2020-03-31,060310,15466570449,15959504632,32883255312,4265511667,450420030,-349996738,-467299923,0,0
2020-06-30,060310,19335345751,18355509592,32177687794,6705135143,575888395,-453931676,-714274255,-1612113294,-243192325
2020-09-30,060310,18893316416,19813437483,32350170290,8764498346,776717816,137258073,194700019,-201219534,3486684278
2020-12-30,060310,16100334467,16293352322,33365022299,2856870062,1910525901,1133851414,-93484160,1188555065,-1033712308
2021-03-31,060310,19475037181,20507257700,37025096733,3775878119,509620804,-281517202,-362882021,0,0
2021-06-30,060310,23161861807,22382842218,38562631695,7644208574,2068686162,1338141374,1482705017,-317040239,1298059518
2021-09-30,060310,28475453922,26090156538,39604250285,6642030087,1762335713,965504290,1022087537,4568417303,8637011676
2021-12-30,060310,18070667851,18068427911,36546324438,5415791603,-2865156741,-3430394412,-1446575650,871088551,-7250311033
2015-12-30,095570,252774438116,1327188368579,0,0,0,74258957322,28991066418,0,0
2016-03-31,095570,0,1398491336539,0,0,0,0,6047831835,0,0
2016-06-30,095570,0,1516245571201,0,0,0,0,6572797036,0,0
2016-09-30,095570,0,1562642599514,0,0,0,0,0,0,0
2016-12-30,095570,0,1653831151606,0,0,0,0,-12620628871,0,0
2017-03-31,095570,0,1695393307678,0,0,0,0,0,0,0
2017-06-30,095570,0,1757596715794,0,0,0,0,0,0,0
2017-09-30,095570,297507805803,1810556839044,446025426853,0,0,20838746277,8304847844,0,0
2017-12-30,095570,318877073839,1907060853223,447172881277,0,0,56382841063,12342332059,-148475141851,0
2018-03-31,095570,424606444866,1970612745657,453500699141,0,0,13986434145,9982225625,-23469830203,0
2018-06-30,095570,421843519163,1964390105338,504029598566,0,0,11681483620,-4738628954,-93722942464,0
2018-09-30,095570,1603558758217,2105387063154,517594103409,0,0,9299628964,4897453512,-138199040191,0
2018-12-30,095570,1511355997808,2083331488612,491807972747,0,0,-56249233579,27127792255,-74845911546,0
2019-03-31,095570,450140825254,1241711049467,431336692618,0,0,7028058594,127477125156,-22131669556,0
2019-06-30,095570,476167300967,1342389310962,398455495498,0,0,10864428649,-29748431307,-38236105195,0
2019-09-30,095570,421173843404,1397826780822,407906536237,0,0,9610006176,2850431619,-18824872963,0
2019-12-30,095570,501055395105,1455914070366,347341155620,0,0,-9658394033,-58450531110,-37909433941,0
2020-03-31,095570,446681157761,1434722343892,333525369841,0,0,11983300695,2015671973,-17494685261,0
2020-06-30,095570,472938420928,1442786068763,335578814430,0,0,8674990527,2936956875,-26730381708,0
2020-09-30,095570,417486662936,1403809750142,324397446345,0,0,12621783865,-7488311923,-24478532480,0
2020-12-30,095570,248555402608,1300162539894,288007810106,0,0,-10327297067,-781129047,17725957273,0
2021-03-31,095570,248484727399,1286562699853,287792748870,0,0,4529532822,4779675291,-4407379720,0
2021-06-30,095570,256746247633,1056271592494,301939413213,0,0,11863184379,14507279034,10988026457,0
2021-09-30,095570,285575628516,991142011081,366578729402,0,0,14616152581,57008816525,-5631691222,0
2015-12-30,006840,969178973579,1593921533934,901593458808,2807147867285,837072464777,106316161081,-37443062232,0,0
2016-03-31,006840,988631258591,1583122119182,923480507913,674546018889,227004863303,54380571530,39242842322,0,0
2016-06-30,006840,983783832774,1561978780722,957297865893,703651872826,210205795074,41925130198,33435136319,0,0
2016-09-30,006840,1026368189738,1582981704199,1000523063990,756067500602,248200163586,72467279677,45853481018,0,0
2016-12-30,006840,1179857738221,1730525757838,1011420744775,787565671300,234627061621,44896723153,14790881151,0,0
2017-03-31,006840,1156717911454,1751152521875,1024648091822,820740707452,250862150870,66723415561,43407295013,0,0
2017-06-30,006840,1142676494202,1710653032430,1059493940990,795495426569,235212592980,54142066193,38874109446,0,0
2017-09-30,006840,1202890814676,1766738408262,1135115218167,865566647573,276364282433,88833747924,77002602585,0,262361994205
2017-12-30,006840,1218481945179,1792720288489,1152064058157,910651828911,301839931936,55942037393,26130010299,0,30150579342
2018-03-31,006840,1338828316585,1822882670514,1335602610671,916581626996,284991225037,97492598230,70614284027,0,298666948619
2018-06-30,006840,1313575015634,1799539185091,1403299289044,893620123297,249016311846,56118566278,53698267040,0,342226425964
2018-09-30,006840,1378893205452,1901870879942,1464421805061,1021335507670,276116880665,80043191099,62068479333,0,405647308402
2018-12-30,006840,1306700266118,1924033597965,1473897641463,879645844788,235490341813,36063540448,20239368531,0,-821938870469
2019-03-31,006840,1383348552436,2807567807261,1505659344090,996841859461,291016808463,97400377205,69738517601,0,269125818371
2019-06-30,006840,1309891410324,2761930364070,1507603842783,890728177941,205470030019,10064393168,2974840356,0,338391581541
2019-09-30,006840,1253975479135,2789258393254,1472905471502,972828925751,224807413102,26936663972,2865552179,0,290565250262
2019-12-30,006840,1327786611907,2898025666994,1429938888091,899143099357,205767582236,-3064542486,-18201077559,0,-678758328578
2020-03-31,006840,1186728978712,2857050634235,1309457852240,793899394494,151172101794,-34580511432,-84173432426,0,-44410909434
2020-06-30,006840,1150208706839,2933515889111,1206103541915,537602420708,92680385137,-69374826124,-103052779699,0,-43130159634
2020-09-30,006840,1165200580562,2888639311047,1230807257297,644766854810,131053928947,-31870706975,-52944613989,0,-88284325968
2020-12-30,006840,1185254991117,2908596226989,1243495382075,643708548233,88028821532,-85728772736,-25604231921,0,194392640235
2021-03-31,006840,1221150561894,3015052766615,1182369259191,682857038600,121309726732,-39499619893,-48953174578,0,12299397078
2021-06-30,006840,1235450581897,3151413655020,1154189193996,839391120730,155240898946,-17355129930,-21527541547,0,19080199411
2021-09-30,006840,1316985793598,3279560893370,1082120917820,832394999551,106762359458,-64696959257,-76964276131,0,19456388828
