,유동자산,부채총계,자본총계,매출액,매출총이익,영업이익,당기순이익,영업활동현금흐름,잉여현금흐름
1900-01-01,,,,,,,,,
2015-12-30,16397613000000,23330409000000,12983487000000,56509008000000,12873945000000,1192291000000,249143000000,2618775000000,4551987000000
2016-03-31,17378859000000,24186930000000,12990016000000,13362090000000,3323682000000,505163000000,198068000000,597295000000,1013329000000
2016-06-30,17271796000000,24116740000000,13128304000000,14002942000000,3766473000000,584605000000,268511000000,1423758000000,2446878000000
2016-09-30,17277520000000,24707761000000,12577795000000,13224230000000,3308993000000,283232000000,-81522000000,2467666000000,4134014000000
2016-12-30,16990563000000,24498527000000,13356742000000,14777771000000,3337592000000,-35237000000,-258742000000,3157990000000,-2045511000000
2017-03-31,17474938000000,24432914000000,13691595000000,14657194000000,3694204000000,921536000000,835691000000,794958000000,1545788000000
2017-06-30,18275231000000,24934303000000,14408096000000,14551411000000,3721440000000,664061000000,514867000000,1731345000000,3079632000000
2017-09-30,19597871000000,26202341000000,14924857000000,15224140000000,3604162000000,516093000000,336139000000,2165062000000,4278396000000
2017-12-30,19194969000000,26547275000000,14673684000000,16963539000000,3638915000000,366859000000,182821000000,2166270000000,-4154674000000
2018-03-31,19072873000000,25765999000000,15456014000000,15123041000000,3809642000000,1107817000000,729871000000,1025665000000,1820857000000
2018-06-30,20540165000000,27165408000000,15759373000000,15019311000000,3917859000000,770969000000,326486000000,1915756000000,3651441000000
2018-09-30,20695210000000,28622360000000,16445972000000,15427050000000,3866329000000,748789000000,497108000000,3184989000000,6610855000000
2018-12-30,19362854000000,28021536000000,16306907000000,15772262000000,3487214000000,75716000000,-80651000000,4541566000000,-3121298000000
2019-03-31,20176127000000,28997029000000,16939675000000,14915064000000,3745017000000,900639000000,577965000000,437524000000,1121063000000
2019-06-30,20134587000000,28772254000000,17094998000000,15629264000000,3956333000000,652237000000,106013000000,1203115000000,2353531000000
2019-09-30,21840692000000,29753634000000,17450926000000,15700645000000,4108171000000,781461000000,345700000000,2546225000000,3974662000000
2019-12-30,19753485000000,28434737000000,16425138000000,16061202000000,3526048000000,101802000000,-849730000000,3689164000000,-1676835000000
2020-03-31,20498178000000,28179481000000,17390671000000,14727803000000,3893747000000,1090404000000,1086731000000,103970000000,224672000000
2020-06-30,19904993000000,27411364000000,17358791000000,12833827000000,3370785000000,495437000000,65550000000,1516491000000,2144749000000
2020-09-30,24492111000000,31623989000000,17771994000000,16919559000000,4578600000000,958981000000,649225000000,3099079000000,4238501000000
2020-12-30,23239420000000,30662102000000,17542125000000,18780857000000,4473811000000,650165000000,262284000000,4628576000000,335175000000
2021-03-31,25306574000000,31607835000000,18850799000000,18809481000000,4876035000000,1516646000000,1169145000000,1300868000000,1983816000000
2021-06-30,24807374000000,31965236000000,18701647000000,17113898000000,4534355000000,878146000000,-291965000000,1667508000000,2833873000000
2021-09-30,28099220000000,34254674000000,20305124000000,18786651000000,4786877000000,540699000000,516477000000,2235641000000,4309424000000
