,유동자산,부채총계,자본총계,매출액,매출총이익,영업이익,당기순이익,영업활동현금흐름,잉여현금흐름
1900-01-01,,,,,,,,,
2015-12-30,124814725000000,63119716000000,179059805000000,200653482000000,77171364000000,26413442000000,19060144000000,40061761000000,0
2016-03-31,126587169000000,62913603000000,178326186000000,49782252000000,19408394000000,6675812000000,5252803000000,8718290000000,0
2016-06-30,130163049000000,62118157000000,181842516000000,50937120000000,21328002000000,8143950000000,5847393000000,22063135000000,0
2016-09-30,132166769000000,64935077000000,179536379000000,47815633000000,18404377000000,5200089000000,4537855000000,36399732000000,0
2016-12-30,141429704000000,69211291000000,192963033000000,53331740000000,22448257000000,9220821000000,7088041000000,47385644000000,0
2017-03-31,129284204000000,74399417000000,189817955000000,50547526000000,22391929000000,9898361000000,7684354000000,10597271000000,0
2017-06-30,132172681000000,76883688000000,200705748000000,61000537000000,28600708000000,14066547000000,11053851000000,23023433000000,0
2017-09-30,145322337000000,85887328000000,210691251000000,62048901000000,29044782000000,14533159000000,11193411000000,40470495000000,0
2017-12-30,146982464000000,87260662000000,214491428000000,65978412000000,30247296000000,15146971000000,12255131000000,62162041000000,0
2018-03-31,154941953000000,89213233000000,223259880000000,60563714000000,28654242000000,15642170000000,11688544000000,15616352000000,0
2018-06-30,156976839000000,85563535000000,233124845000000,58482658000000,27208061000000,14869035000000,11043412000000,29054126000000,0
2018-09-30,176282049000000,95092626000000,242103160000000,65459993000000,30265635000000,17574865000000,13150715000000,44603783000000,0
2018-12-30,174697424000000,91604067000000,247753177000000,59265050000000,25249066000000,10800599000000,8462186000000,67031863000000,0
2019-03-31,177388524000000,91852732000000,253215151000000,52385546000000,19639094000000,6233282000000,5043585000000,5244311000000,0
2019-06-30,173433478000000,85193101000000,257747033000000,56127104000000,20182420000000,6597065000000,5180576000000,11839176000000,0
2019-09-30,186042134000000,89943741000000,263442244000000,62003471000000,22009581000000,7777892000000,6287664000000,25665775000000,0
2019-12-30,181385260000000,89684076000000,262880421000000,59884760000000,21330237000000,7160270000000,5227040000000,45382915000000,0
2020-03-31,186739748000000,91069812000000,266387723000000,55325178000000,20518484000000,6447345000000,4884926000000,11829879000000,0
2020-06-30,186136845000000,88151682000000,269807817000000,52966142000000,21059944000000,8146292000000,5555083000000,26628032000000,0
2020-09-30,203634913000000,99652554000000,276136188000000,66964160000000,26993684000000,12353238000000,9360693000000,40772425000000,0
2020-12-30,198215579000000,102287702000000,275948016000000,61551508000000,23746580000000,9047001000000,6607130000000,65287009000000,0
2021-03-31,209155353000000,118557683000000,274268591000000,65388503000000,23888518000000,9382868000000,7141685000000,13803078000000,0
2021-06-30,191118524000000,102453403000000,282324266000000,63671585000000,26605654000000,12566745000000,9634486000000,25889535000000,0
2021-09-30,212793019000000,113654600000000,296766118000000,73979187000000,31080316000000,15817531000000,12293331000000,44470987000000,0
