,유동자산,부채총계,자본총계,매출액,매출총이익,영업이익,당기순이익,영업활동현금흐름,잉여현금흐름
1900-01-01,,,,,,,,,
2015-12-30,67529210000000,98486545000000,66881401000000,91958736000000,18257440000000,6357906000000,6509165000000,1248415000000,9308703000000
2016-03-31,67485844000000,97626205000000,67501152000000,22350624000000,4239272000000,1342391000000,1768131000000,-814714000000,-355321000000
2016-06-30,69081618000000,100542325000000,69175778000000,24676726000000,5023255000000,1761839000000,1763922000000,277408000000,3364281000000
2016-09-30,66941597000000,97833733000000,69247284000000,22083670000000,3893975000000,1068104000000,1118764000000,484639000000,3701972000000
2016-12-30,72449600000000,106491350000000,72344578000000,24538004000000,4532802000000,1021166000000,1068836000000,996964000000,597782000000
2017-03-31,69633170000000,101466177000000,71774594000000,23365959000000,4293303000000,1250761000000,1405694000000,958358000000,1743575000000
2017-06-30,71920404000000,105078844000000,73678013000000,24308002000000,4726836000000,1344470000000,913626000000,1939575000000,3969044000000
2017-09-30,73923707000000,106889467000000,74598365000000,24201273000000,4339651000000,1204207000000,939182000000,2313113000000,4772039000000
2017-12-30,73975914000000,103442100000000,74757354000000,24500845000000,4218117000000,775229000000,1287898000000,3922421000000,-1817824000000
2018-03-31,71247470000000,101088563000000,74480089000000,22436561000000,3467513000000,681291000000,731635000000,1300223000000,1429062000000
2018-06-30,72908003000000,104378633000000,74953180000000,24711802000000,3926491000000,950817000000,810727000000,2634704000000,3348146000000
2018-09-30,73205979000000,104848396000000,74924021000000,24433735000000,3692533000000,288930000000,305952000000,3455335000000,4139639000000
2018-12-30,73008101000000,106759742000000,73896010000000,25230511000000,4055593000000,501127000000,-203295000000,3764265000000,-2737518000000
2019-03-31,73668526000000,108457538000000,74207914000000,23987079000000,3912662000000,824871000000,953785000000,934990000000,2266120000000
2019-06-30,77167806000000,112806983000000,75682559000000,26966353000000,4623040000000,1237725000000,999296000000,1772245000000,4615146000000
2019-09-30,75868279000000,115644694000000,76025188000000,26968853000000,4428386000000,378520000000,460499000000,1320577000000,4672602000000
2019-12-30,76082873000000,118146466000000,76365754000000,27824137000000,4690925000000,1164389000000,772066000000,419784000000,-5204900000000
2020-03-31,76223367000000,122924233000000,75926616000000,25319448000000,4265310000000,863776000000,552682000000,822005000000,940159000000
2020-06-30,79025897000000,125756385000000,76048135000000,21858991000000,3711827000000,590321000000,377270000000,716662000000,4119136000000
2020-09-30,81868709000000,131246135000000,75850104000000,27575812000000,5125267000000,-313823000000,-188801000000,2215299000000,8073451000000
2020-12-30,83686357000000,133003242000000,76340970000000,29243350000000,5379266000000,1254397000000,1183402000000,-409807000000,-4204957000000
2021-03-31,85547213000000,138626886000000,77523661000000,27390871000000,5036570000000,1656615000000,1522225000000,31691000000,1627057000000
2021-06-30,85512798000000,142711230000000,80108929000000,30326066000000,5731269000000,1886001000000,1982602000000,-813499000000,3392686000000
2021-09-30,87567649000000,148798538000000,82311444000000,28867220000000,5233686000000,1606673000000,1486876000000,-3386377000000,232751000000
